text,label
"🍾
",1
"🐷
",1
"🤓
",1
"🤔
",1
"🤣
",1
"🧐
",1
"😂
",1
"😌
",1
"😒
",1
"😗
",1
"😱
",1
"🙄
",1
"Ok
",1
"คะ
",1
"เค
",1
"งง
",1
"ไง
",1
"จน
",1
"จบ
",1
"ชิ
",1
"นะ
",1
"ไป
",1
"มะ
",1
"รอ
",1
"ลด
",1
"อะ
",1
": )
",1
"...
",1
"\m/
",1
"= =
",1
"✌🏻
",1
"10฿
",1
"379
",1
"499
",1
"55+
",1
"555
",1
"MG6
",1
"กอย
",1
"กัส
",1
"กิน
",1
"โกๆ
",1
"ค่ะ
",1
"ค่า
",1
"เคๆ
",1
"เคร
",1
"ง้อ
",1
"งับ
",1
"งัว
",1
"งืม
",1
"แง้
",1
"จ่ะ
",1
"จ้ะ
",1
"จัน
",1
"จ้า
",1
"จูน
",1
"เจ้
",1
"ใช่
",1
"ดูๆ
",1
"โด่
",1
"ตัง
",1
"ตัว
",1
"เตง
",1
"เตร
",1
"ถูก
",1
"โถ่
",1
"เทส
",1
"เทอ
",1
"นะๆ
",1
"นี้
",1
"บ่ๆ
",1
"บาย
",1
"ปี๊
",1
"ฝาก
",1
"มาๆ
",1
"มึง
",1
"แม่
",1
"ยัง
",1
"ยี๋
",1
"เย้
",1
"แยก
",1
"ลดๆ
",1
"ลอง
",1
"ใสๆ
",1
"หมี
",1
"หยอ
",1
"หรอ
",1
"หรา
",1
"หิว
",1
"หึๆ
",1
"หึย
",1
"หุๆ
",1
"หูย
",1
"แหม
",1
"ออม
",1
"อิๆ
",1
"อืด
",1
"อืม
",1
"อือ
",1
"เออ
",1
"****
",1
"*ตัว
",1
"=+++
",1
"🌈✌️
",1
"👍🏻
",1
"🤘😎
",1
"😉😉
",1
"😬😬
",1
"😯😯
",1
"😶😶
",1
"😷🤧
",1
"25นะ
",1
"3142
",1
"5555
",1
"Goๆๆ
",1
"Jack
",1
"Vios
",1
"ไก่?
",1
"ครับ
",1
"คลีน
",1
"ค้าบ
",1
"งงใจ
",1
"ง่วบ
",1
"ง่ะะ
",1
"งื้อ
",1
"งุ้ย
",1
"แง่ๆ
",1
"แงงง
",1
"จย้า
",1
"จ๊ะๆ
",1
"ช่าย
",1
"ชีสๆ
",1
"ใช่ๆ
",1
"ด้วย
",1
"เด๋อ
",1
"ตะกะ
",1
"ตัวไ
",1
"ตุ่ย
",1
"เถอะ
",1
"ทำดี
",1
"ทำไม
",1
"นี่ๆ
",1
"บวกๆ
",1
"บวกก
",1
"เบาๆ
",1
"เป็ด
",1
"ไปดิ
",1
"ไปนะ
",1
"ไปบ่
",1
"ไปมะ
",1
"ไปสิ
",1
"ผมรอ
",1
"พี่ๆ
",1
"มาดิ
",1
"มาสิ
",1
"มีดิ
",1
"ยุ่ง
",1
"เย่ๆ
",1
"เย้ๆ
",1
"โยว์
",1
"ร่วม
",1
"รอชม
",1
"รอไร
",1
"รายย
",1
"ไรคะ
",1
"ลองๆ
",1
"ล่า!
",1
"ลืมๆ
",1
