text,label
":3
",0
"☺️
",0
"🤤
",0
"🤪
",0
"😁
",0
"😄
",0
"😊
",0
"😋
",0
"😍
",0
"😘
",0
"😝
",0
"😳
",0
"🙂
",0
"เช
",0
"ดิ
",0
"ปะ
",0
"พน
",0
"Goๆ
",0
"ครบ
",0
"ค้ะ
",0
"จอง
",0
"จัด
",0
"ชอบ
",0
"ถึง
",0
"ป้ะ
",0
"ป๊ะ
",0
"ปะๆ
",0
"ไป!
",0
"ไปๆ
",0
"มาก
",0
"เย่
",0
"เยป
",0
"อูย
",0
"🎉🎉
",0
"👌🏼
",0
"👍👍
",0
"🤤🤤
",0
"🤩🤩
",0
"😁😁
",0
"😄😄
",0
"😋🍜
",0
"😋😋
",0
"😍😍
",0
"😎🤔
",0
"Go!!
",0
"Want
",0
"กินๆ
",0
"เครๆ
",0
"งั่ม
",0
"ง้ำๆ
",0
"จ้ะ.
",0
"จะรอ
",0
"จัดๆ
",0
"จ๊าบ
",0
"แดกก
",0
"ได้ๆ
",0
"เทอๆ
",0
"ปร้ะ
",0
"ป่ะ​
",0
"ป่ะๆ
",0
"ป้ะๆ
",0
"ป๊ะๆ
",0
"ปะๆๆ
",0
"ปะ55
",0
"ปะคะ
",0
"ป่ะะ
",0
"ปายย
",0
"ไปๆ/
",0
"ไปๆๆ
",0
"ไปคะ
",0
"ไปปป
",0
"ไปปะ
",0
"ไปรึ
",0
"พนนะ
",0
"พนมะ
",0
"ยะลา
",0
"เยๆๆ
",0
"รอๆๆ
",0
"รอไป
",0
"รอยุ
",0
"ว้าว
",0
"สุ้ๆ
",0
"หิวๆ
",0
"อบาก
",0
"อิอิ
",0
"อุ่น
",0
"เอาๆ
",0
"กินๆๆ
",0
"กิน55
",0
"ครูขา
",0
"ควรคะ
",0
"ควรไป
",0
"จะกิน
",0
"จัดๆๆ
",0
"จัดดด
",0
"จัดดิ
",0
"จัดไป
",0
"จัดมา
",0
"เจ๋งๆ
",0
"ชอบอะ
",0
"ดูเด้
",0
"แดกกก
",0
"ได้ !
",0
"ตำๆๆๆ
",0
"ถูกใจ
",0
"น่าสน
",0
"นี้นะ
",0
"โนนนน
",0
"บอกไร
",0
"ปะ 55
",0
"ป่ะ😋
",0
"ป๊ะๆๆ
",0
"ป่ะสู
",0
"ป่ะะะ
",0
"ไปๆๆๆ
",0
"ไป2คน
",0
"ไปกัน
",0
"ไปค่ะ
",0
"ไปดิๆ
",0
"ไปปปป
",0
"ไปโลด
",0
"ไปสี้
",0
"ไปหรอ
",0
"ไปไหน
",0
"พร้อม
",0
"พลีส.
",0
"พลีสส
",0
"พาไปๆ
",0
"มาาาา
",0
"ไม่ !
",0
"ยืดดด
",0
"รอคับ
",0
"รอนะ❤
",0
"เรสโก
",0
"ไรนี้
",0
"ลองๆๆ
",0
"ลาเลย
",0
"ลุย!!
",0
"ว้าวว
",0
"สนๆๆๆ
",0
"สนบ่ๆ
",0
"สนม่ะ
",0
"สู้ๆๆ
",0
"สูววว
",0
"หิวๆๆ
",0
"หิวนะ
",0
"หิววว
",0
"หิววะ
",0
"หึ้ยย
",0
"อยากๆ
",0
"อยากก
",0
"อร่อย
",0
"อิออิ
",0
"เออ55
",0
"@ไปคะๆ
",0
"👍👍👍
",0
"🤤🤤🤤
",0
"😁😁😁
",0
"😋😋😋
",0
"😍😍😍
",0
"😍😍😚
",0
"😘😘😘
",0
"😳😳😳
",0
"😳นะๆๆ
",0
"Dจัง😍
",0
"กินๆๆๆ
",0
"กินกัน
",0
"กินชีส
",0
"กินป่ะ
",0
"คับผม.
",0
"ค้าาาา
",0
"คุณแม่
",0
"เคร่ๆๆ
",0
"เคร555
",0
"ง้าาาา
",0
"จะกินๆ
",0
"จัดๆๆๆ
",0
"จัดกัน
",0
"จัดค่า
",0
"จัดดิๆ
",0
"จัดไป.
",0
"จัดไปๆ
",0
"จัดไปป
",0
"จัดเลย
",0
"จัดแอะ
",0
"ใจเยนๆ
",0
"ใจร้าย
",0
"ชอบจัง
",0
"ชอบอ่ะ
",0
"ใช่ม่ะ
",0
"แดกกัน
",0
"แดกไหม
",0
"ต้มยำๆ
",0
"ถูกจัง
",0
"ที่รัก
",0
"น่ากิน
",0
"น่ากิร
",0
"น่าโดน
",0
"น่าทาน
",0
"น่าลอง
",0
"น่าสนๆ
",0
"นี้แน่
",0
"ป่ะ 😍
",0
"ป้ะ 29
",0
"ปะ จัน
",0
"ปะ!!!!
",0
"ปะตั้ม
",0
"ปะไปตำ
",0
"ป้ะลอง
",0
"ป่ะหิว
",0
"ปังสุด
",0
"ไป๊ๆๆๆ
",0
"ไปๆๆๆๆ
",0
"ไปๆๆMK
",0
"ไป5555
",0
"ไปกะปะ
",0
"ไปกันๆ
",0
"ไปกันน
",0
"ไปกินๆ
",0
"ไปกินน
",0
"ไปคะ🍃
",0
"ไปด้วย
",0
"ไปดิๆๆ
",0
"ไปดิวะ
",0
"ไปปปปป
",0
"ไปป่าว
",0
"ไปสิคะ
",0
"ไปเหอะ
",0
"พน เลย
",0
"พน.จัด
",0
"ฟินค่ะ
",0
"มิโสะๆ
",0
"เย้ๆๆๆ
",0
"รอคะๆๆ
",0
"รับ รว
",0
"รีบเรย
",0
"เริศคะ
",0
"ลงชื่อ
",0
"ลองๆ☺️
",0
"ลาดไหม
",0
"ว้าววว
",0
"สนมั้ย
",0
"สนม่าย
",0
"สนไหมๆ
",0
"สิ้นปี
",0
"สุดยอด
",0
"หย่อยๆ
",0
"หืวเลย
",0
"หูยยยย
",0
"หู้วๆๆ
",0
"เหมือน
",0
"อยากๆๆ
",0
"อยากกก
",0
"อยากไป
",0
"อยากอะ
",0
"อั่ยยะ
",0
"อั้ยยะ
",0
"อืออออ
",0
"อู้ยยย
",0
"เออ ไป
",0
"เอิ้มม
",0
"โอเคๆๆ
",0
"โอเคไป
",0
"343 จ้า
",0
"กรี๊ดๆๆ
",0
"กิน กิน
",0
"กินๆๆๆๆ
",0
"กินป่าว
",0
"ใข่ครับ
",0
"คุ้มค่า
",0
"ง่าาาาา
",0
"จะกินนน
",0
"จัดปุยย
",0
"จัดไป😜
",0
"จัดไป55
",0
"แจกันนน
",0
"ชายคะะะ
",0
"เด็ดสัส
",0
"ได้ครับ
",0
"ได้เสมอ
",0
"ต้องจัด
",0
"ต้องโดน
",0
"ต้องลอง
",0
"ตู้หูวว
",0
"เตงงงงง
",0
"แถวมอ.~
",0
"ทันพอดี
",0
"แทกเฉยๆ
",0
"นังมิ้น
",0
"น่้ากิน
",0
"น่ากินๆ
",0
"น่ากินน
",0
"น่าโดนน
",0
"น่าลองๆ
",0
"น่าสนนน
",0
"น่าสนนะ
",0
"น่าอ่าน
",0
"บวกครับ
",0
"ปะ หิวว
",0
"ป้ะเถอะ
",0
"ป่ะล่าา
",0
"ป่ะหมอก
",0
"ป่ะะะะะ
",0
"ปายๆๆ😂
",0
"ไปๆ กทม
",0
"ไปๆ กัน
",0
"ไปๆๆ 🤤
",0
"ไปๆๆๆ🤪
",0
"ไปๆๆๆๆๆ
",0
"ไปๆๆ555
",0
"ไปกานนน
",0
"ไปจัดคะ
",0
"ไปด้วยๆ
",0
"ไปด้วยย
",0
"ไปดิไปๆ
",0
"ไปปปปปป
",0
"ไปสิ 😎
",0
"พน.มั้ย
",0
"พลาดเลย
",0
"ฟิ้วววว
",0
"มาใหม่ๆ
",0
"ลองยั้ง
",0
"ลุยครับ
",0
"เลี้ยง?
",0
"วันไหนๆ
",0
"วันไหนน
",0
"ว้าวๆๆๆ
",0
"ว้าวววว
",0
"สนม้ะะะ
",0
"สนไม๊😂
",0
"สั่งเลย
",0
"สู้ๆคับ
",0
"สู้ครับ
",0
"เสาร์มะ
",0
"หน้ากิน
",0
"หลังสอบ
",0
"หาอีกคน
",0
"หิวจ้าด
",0
"หิวเนอะ
",0
"หึ้ม!!!
",0
"หือออแอ
",0
"อดๆๆๆๆๆ
",0
"อยาก...
",0
"อยากก😍
",0
"อยากกกก
",0
"อยากกิง
",0
"อยากกิน
",0
"อยากจิน
",0
"อยากจุง
",0
"อยากเด่
",0
"อยากเด้
",0
"อยากได้
",0
"อยากอ่ะ
",0
"อร่อยคะ
",0
"อ้อนนนน
",0
"อันนี้~
",0
"อื่อหือ
",0
"เอมเคไป
",0
"แอบอยาก
",0
"โอเค้!!
",0
"โอเคคับ
",0
"โอเชชชช
",0
",อยากกิน
",0
"> ป่ะเรา
",0
"🤔🤔😎😎
",0
"🤣🤣🤣🤣
",0
"🤤🤤🤤🤤
",0
"😍😍😍😍
",0
